DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/11/05 16:47:00,AQUA_M-T,Brasil,BAHIA,ENCRUZILHADA,Mata Atlântica,3,0.1,0.93,-15.68837,-41.2586,32.2
2024/11/05 16:47:00,AQUA_M-T,Brasil,BAHIA,CRUZ DAS ALMAS,Mata Atlântica,5,0.0,1.0,-12.70236,-39.07716,13.0
2024/11/05 16:49:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TENENTE ANANIAS,Caatinga,120,0.0,1.0,-6.44345,-38.24058,15.5
2024/11/05 16:49:00,AQUA_M-T,Brasil,CEARÁ,QUIXADÁ,Caatinga,115,0.0,1.0,-5.09374,-38.84528,34.4
2024/11/05 16:49:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CARNAUBAIS,Caatinga,5,0.0,1.0,-5.24267,-36.86996,8.1
2024/11/05 16:49:00,AQUA_M-T,Brasil,PARAÍBA,ALAGOINHA,Caatinga,5,0.0,1.0,-6.93488,-35.56749,11.3
2024/11/05 16:49:00,AQUA_M-T,Brasil,CEARÁ,CANINDÉ,Caatinga,115,0.0,1.0,-4.47427,-39.4468,11.0
2024/11/05 16:49:00,AQUA_M-T,Brasil,CEARÁ,SÃO BENEDITO,Caatinga,18,0.0,1.0,-4.0281,-40.97568,23.0
2024/11/05 16:49:00,AQUA_M-T,Brasil,CEARÁ,MORADA NOVA,Caatinga,118,0.0,1.0,-5.0171,-38.31111,28.0
2024/11/05 16:49:00,AQUA_M-T,Brasil,MARANHÃO,TUTÓIA,Cerrado,-999,0.0,1.0,-2.82353,-42.34611,6.0
2024/11/05 16:49:00,AQUA_M-T,Brasil,SERGIPE,JAPARATUBA,Mata Atlântica,-999,0.0,1.0,-10.54277,-36.85739,6.8
2024/11/05 16:49:00,AQUA_M-T,Brasil,PIAUÍ,JARDIM DO MULATO,Caatinga,2,0.0,1.0,-6.15963,-42.49969,26.2
2024/11/05 16:49:00,AQUA_M-T,Brasil,PERNAMBUCO,IPUBI,Caatinga,17,0.0,1.0,-7.6707,-40.2326,25.8
2024/11/05 16:49:00,AQUA_M-T,Brasil,PARAÍBA,SÃO JOÃO DO RIO DO PEIXE,Caatinga,35,0.0,1.0,-6.8393,-38.36766,14.5
2024/11/05 16:49:00,AQUA_M-T,Brasil,MARANHÃO,CHAPADINHA,Cerrado,23,0.0,1.0,-4.10869,-43.45533,98.3
2024/11/05 16:49:00,AQUA_M-T,Brasil,CEARÁ,SANTA QUITÉRIA,Caatinga,73,0.0,1.0,-4.42694,-39.90958,12.5
2024/11/05 16:49:00,AQUA_M-T,Brasil,PARAÍBA,LASTRO,Caatinga,44,0.0,1.0,-6.56859,-38.20683,13.2
2024/11/05 16:49:00,AQUA_M-T,Brasil,PIAUÍ,PIRIPIRI,Caatinga,24,0.0,1.0,-4.41667,-41.92678,30.2
2024/11/05 16:49:00,AQUA_M-T,Brasil,PERNAMBUCO,AFRÂNIO,Caatinga,5,0.0,1.0,-8.71382,-41.25374,83.9
2024/11/05 16:49:00,AQUA_M-T,Brasil,PIAUÍ,BATALHA,Caatinga,100,0.0,1.0,-4.1299,-42.23418,18.1
2024/11/05 16:49:00,AQUA_M-T,Brasil,MARANHÃO,MONÇÃO,Amazônia,20,0.2,1.0,-3.54685,-45.17781,46.6
2024/11/05 16:49:00,AQUA_M-T,Brasil,CEARÁ,MORADA NOVA,Caatinga,105,0.0,1.0,-5.35553,-38.61137,15.0
2024/11/05 16:49:00,AQUA_M-T,Brasil,PIAUÍ,CANAVIEIRA,Cerrado,4,0.0,1.0,-7.56612,-43.655,29.7
2024/11/05 16:49:00,AQUA_M-T,Brasil,MARANHÃO,SANTA LUZIA,Amazônia,36,0.0,1.0,-4.07505,-45.97595,127.5
2024/11/05 16:49:00,AQUA_M-T,Brasil,MARANHÃO,CAXIAS,Cerrado,18,0.0,1.0,-4.89155,-42.9854,57.0
2024/11/05 16:49:00,AQUA_M-T,Brasil,MARANHÃO,CHAPADINHA,Cerrado,24,0.0,1.0,-4.01435,-43.63374,35.1
2024/11/05 16:49:00,AQUA_M-T,Brasil,MARANHÃO,BACABAL,Amazônia,17,0.3,1.0,-3.99719,-44.69855,117.6
2024/11/05 16:49:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SÃO JOSÉ DE MIPIBU,Mata Atlântica,4,0.0,0.96,-5.99041,-35.29588,14.4
